epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.59833,3.06959,5.1262,2.02578,0,0,0,0,4.84454,4.97132,4.32407,0.09604,4e-05,4e-05
2,5.55694,2.38236,3.81866,1.50975,0.00011,0.025,6e-05,1e-05,3.63683,4.91945,2.75476,0.0910891,8.9109e-05,8.9109e-05
3,7.18394,2.06717,2.78325,1.38431,0.00011,0.025,6e-05,1e-05,4.71431,4.73982,4.48383,0.0861372,0.000137228,0.000137228
4,8.73932,2.1447,2.00676,1.40547,0.00011,0.025,6e-05,1e-05,3.94398,4.81221,3.00037,0.0811844,0.000184357,0.000184357
5,10.3359,1.906,1.80166,1.33905,0.00011,0.025,6e-05,1e-05,2.55372,4.25955,1.62303,0.0762305,0.000230496,0.000230496
6,11.9463,1.85574,1.63458,1.34436,1,0.05,0.525,0.20906,2.21116,4.08405,1.46549,0.0712756,0.000275645,0.000275645
7,13.5851,1.75667,1.42208,1.26046,0.75862,0.55,0.69737,0.26774,2.2228,4.07332,1.53549,0.0663198,0.000319804,0.000319804
8,15.2141,1.72164,1.28115,1.29861,0.57303,0.6375,0.61453,0.13016,2.30222,4.14665,1.61504,0.061363,0.000362973,0.000362973
9,16.8916,1.68763,1.36878,1.26351,0.61682,0.825,0.843,0.24375,1.93246,3.75528,1.45287,0.0564052,0.000405152,0.000405152
10,18.5556,1.70544,1.17225,1.2874,0.38919,0.9,0.87722,0.25826,1.93323,3.49989,1.4733,0.0514463,0.000446341,0.000446341
11,20.2314,1.65552,1.1645,1.24589,0.31381,0.9375,0.87544,0.33302,1.78548,3.12521,1.42108,0.0464865,0.00048654,0.00048654
12,21.9356,1.48255,1.06888,1.17881,0.30453,0.925,0.89048,0.34635,1.83957,2.88397,1.51101,0.0415257,0.000525749,0.000525749
13,23.6493,1.61187,1.08385,1.21866,0.34091,0.9375,0.91549,0.43923,1.70673,2.62113,1.44274,0.036564,0.000563968,0.000563968
14,25.351,1.62828,1.08176,1.23912,0.31225,0.9875,0.92501,0.44631,1.81201,2.3818,1.46006,0.0316012,0.000601197,0.000601197
15,27.0637,1.59463,1.05882,1.24852,0.42703,0.9875,0.96118,0.62009,1.35301,2.21451,1.28206,0.0266374,0.000637436,0.000637436
16,28.6933,1.4232,1.05413,1.23149,0.42623,0.975,0.96596,0.53091,1.61543,2.19825,1.37214,0.0216727,0.000672685,0.000672685
17,30.3325,1.52214,0.89098,1.18579,0.98502,0.8219,0.93607,0.32929,2.35509,2.09487,1.81233,0.0167069,0.000706944,0.000706944
18,32.0123,1.52924,0.97525,1.19474,0.97425,0.8375,0.95888,0.56833,1.6552,1.95298,1.40662,0.0117402,0.000740213,0.000740213
19,33.6689,1.4553,0.8446,1.1421,0.99009,0.825,0.96554,0.5953,1.50935,1.8116,1.34526,0.00677249,0.000772492,0.000772492
20,35.4139,1.37363,0.8254,1.11928,0.95836,0.86317,0.94839,0.54272,1.61295,1.4976,1.42905,0.00180378,0.000803781,0.000803781
21,37.1209,1.51024,0.92185,1.23037,0.9827,0.8625,0.95265,0.58995,1.39302,1.25374,1.29574,0.000802,0.000802,0.000802
22,38.8289,1.39591,0.92321,1.13539,0.99079,0.875,0.97074,0.55871,1.50364,1.14876,1.32412,0.0007921,0.0007921,0.0007921
23,40.4787,1.40467,0.87825,1.19267,0.96065,0.91563,0.97542,0.61197,1.32465,1.07885,1.25452,0.0007822,0.0007822,0.0007822
24,42.1648,1.38156,0.88887,1.1501,0.98139,0.9,0.97756,0.47457,1.75027,1.14203,1.45689,0.0007723,0.0007723,0.0007723
25,43.8299,1.39772,0.9202,1.16403,0.94823,0.91584,0.9535,0.44901,1.87021,1.09992,1.55684,0.0007624,0.0007624,0.0007624
26,45.4543,1.46562,0.91118,1.16803,0.9456,0.9375,0.96027,0.55614,1.5004,0.98419,1.35713,0.0007525,0.0007525,0.0007525
27,47.0708,1.37501,0.8699,1.1885,0.97754,0.95,0.9828,0.61589,1.26997,0.90524,1.23383,0.0007426,0.0007426,0.0007426
28,48.7289,1.4044,0.86647,1.16327,0.95688,0.9625,0.98127,0.58671,1.37518,1.02498,1.25386,0.0007327,0.0007327,0.0007327
29,50.352,1.34302,0.80536,1.13229,0.96247,0.96174,0.98186,0.61646,1.25745,0.9597,1.21743,0.0007228,0.0007228,0.0007228
30,51.956,1.42452,0.8253,1.15439,0.97713,0.95,0.98284,0.57619,1.40879,0.87863,1.30309,0.0007129,0.0007129,0.0007129
31,53.589,1.3324,0.85385,1.12573,0.97823,0.95,0.98274,0.60689,1.30799,0.81369,1.26629,0.000703,0.000703,0.000703
32,55.2227,1.28435,0.77127,1.08786,0.97993,0.95,0.98166,0.47161,1.70992,0.91354,1.41371,0.0006931,0.0006931,0.0006931
33,56.8761,1.28893,0.80372,1.09831,0.9914,0.95,0.98,0.53525,1.57942,0.85413,1.35172,0.0006832,0.0006832,0.0006832
34,58.5789,1.34208,0.85541,1.12643,0.9871,0.95,0.9821,0.60099,1.36603,0.75268,1.2495,0.0006733,0.0006733,0.0006733
35,60.3047,1.31438,0.7696,1.14236,0.98575,0.95,0.98196,0.62941,1.27512,0.70866,1.21791,0.0006634,0.0006634,0.0006634
36,62.0031,1.23261,0.79023,1.12733,0.97935,0.95,0.98399,0.72276,1.02608,0.65517,1.09658,0.0006535,0.0006535,0.0006535
37,63.69,1.28328,0.80485,1.09961,0.9825,0.95,0.98255,0.68628,1.10599,0.67253,1.12161,0.0006436,0.0006436,0.0006436
38,65.3181,1.29279,0.84816,1.08743,0.98039,0.95,0.98251,0.6632,1.14528,0.68177,1.13201,0.0006337,0.0006337,0.0006337
39,67.0139,1.13778,0.78787,1.06843,0.97967,0.95,0.98134,0.70652,1.03197,0.65636,1.08381,0.0006238,0.0006238,0.0006238
40,68.735,1.3024,0.73892,1.11702,0.97463,0.96054,0.98293,0.66826,1.17283,0.65846,1.13913,0.0006139,0.0006139,0.0006139
41,70.3824,1.16081,0.71849,1.04394,0.97462,0.95991,0.98379,0.68296,1.11803,0.63994,1.11839,0.000604,0.000604,0.000604
42,72.1046,1.19786,0.73942,1.04622,0.97465,0.96121,0.98498,0.72326,0.99446,0.61755,1.07865,0.0005941,0.0005941,0.0005941
43,73.8022,1.20124,0.73605,1.08738,0.97497,0.97378,0.98668,0.74005,1.02572,0.62622,1.09984,0.0005842,0.0005842,0.0005842
44,75.5039,1.18281,0.68282,1.04629,0.97498,0.97426,0.98768,0.74585,0.96687,0.62717,1.07815,0.0005743,0.0005743,0.0005743
45,77.1979,1.30147,0.71567,1.08325,0.97498,0.97406,0.98799,0.73889,1.00411,0.65283,1.08594,0.0005644,0.0005644,0.0005644
46,78.8818,1.17361,0.7246,1.08015,0.97486,0.96943,0.98848,0.67454,1.18347,0.69388,1.15313,0.0005545,0.0005545,0.0005545
47,80.5126,1.20197,0.73332,1.05659,0.98361,0.9625,0.98831,0.66197,1.18631,0.68036,1.15464,0.0005446,0.0005446,0.0005446
48,82.1803,1.17046,0.66618,1.05235,0.98322,0.9625,0.98969,0.74857,0.95673,0.59183,1.08616,0.0005347,0.0005347,0.0005347
49,83.8601,1.11284,0.64773,1.02963,0.98291,0.9625,0.99021,0.74933,0.94868,0.58343,1.08235,0.0005248,0.0005248,0.0005248
50,85.5201,1.12762,0.68051,1.05713,0.98278,0.9625,0.99007,0.69155,1.09304,0.60961,1.12895,0.0005149,0.0005149,0.0005149
51,87.179,1.13098,0.65376,1.0297,0.98699,0.94841,0.99042,0.6904,1.10239,0.61542,1.13245,0.000505,0.000505,0.000505
52,88.8536,1.09686,0.64068,1.04125,0.96245,0.96113,0.99052,0.70603,1.09782,0.62862,1.13067,0.0004951,0.0004951,0.0004951
53,90.5045,1.16103,0.64353,1.02262,0.94,0.97921,0.99121,0.70044,1.09359,0.62416,1.13333,0.0004852,0.0004852,0.0004852
54,92.1632,1.19414,0.68505,1.07771,0.94015,0.98187,0.99119,0.7283,1.00682,0.61185,1.10035,0.0004753,0.0004753,0.0004753
55,93.8058,1.2543,0.7181,1.11309,0.94036,0.98556,0.99139,0.7293,0.97212,0.60873,1.08942,0.0004654,0.0004654,0.0004654
56,95.5057,1.20944,0.72367,1.02705,0.9631,0.97867,0.9929,0.74623,0.97582,0.65512,1.09133,0.0004555,0.0004555,0.0004555
57,97.1997,1.11844,0.72713,1.05702,0.96299,0.975,0.9928,0.70205,1.05084,0.66558,1.11697,0.0004456,0.0004456,0.0004456
58,98.8597,1.06715,0.6468,1.01975,0.96396,0.975,0.99301,0.6483,1.21375,0.66648,1.17517,0.0004357,0.0004357,0.0004357
59,100.535,1.11642,0.65676,1.04785,0.9753,0.987,0.99314,0.64687,1.21615,0.64086,1.16832,0.0004258,0.0004258,0.0004258
60,102.261,1.04352,0.62693,1.02436,0.9733,0.9875,0.99339,0.78399,0.85254,0.54739,1.02745,0.0004159,0.0004159,0.0004159
61,103.978,1.04447,0.60971,0.98863,0.96854,0.9875,0.99354,0.78184,0.88473,0.54299,1.03319,0.000406,0.000406,0.000406
62,105.697,1.12957,0.64273,1.06088,0.9715,0.9875,0.99377,0.77594,0.8716,0.55257,1.02493,0.0003961,0.0003961,0.0003961
63,107.4,1.008,0.59587,0.98871,0.97223,0.9875,0.99389,0.77699,0.86861,0.57369,1.02485,0.0003862,0.0003862,0.0003862
64,109.101,1.04471,0.61515,1.02215,0.97201,0.9875,0.99354,0.78441,0.86411,0.59507,1.02781,0.0003763,0.0003763,0.0003763
65,110.773,1.08325,0.63693,1.03178,0.97191,0.9875,0.99377,0.7728,0.91387,0.59543,1.04843,0.0003664,0.0003664,0.0003664
66,112.471,0.9972,0.60055,0.95811,0.96843,0.9875,0.99389,0.74426,0.99849,0.59616,1.07663,0.0003565,0.0003565,0.0003565
67,114.216,0.96803,0.58906,0.97487,0.97547,0.99438,0.99427,0.76452,0.92917,0.57641,1.05094,0.0003466,0.0003466,0.0003466
68,115.937,0.97896,0.5973,1.02017,0.97125,1,0.99427,0.78916,0.90169,0.5287,1.0402,0.0003367,0.0003367,0.0003367
69,117.625,1.03378,0.60263,1.02376,0.99975,0.9625,0.99403,0.80499,0.86579,0.52414,1.02655,0.0003268,0.0003268,0.0003268
70,119.345,1.01678,0.62891,1.00961,0.97195,1,0.99427,0.80835,0.80165,0.50953,0.99873,0.0003169,0.0003169,0.0003169
71,121.049,1.0392,0.59906,0.98519,0.97464,1,0.99439,0.81136,0.79088,0.49181,0.99686,0.000307,0.000307,0.000307
72,122.771,1.00083,0.57372,0.99331,0.99465,0.9875,0.99476,0.77863,0.92544,0.51105,1.0288,0.0002971,0.0002971,0.0002971
73,124.456,0.95648,0.58688,0.95438,0.97458,1,0.99463,0.76169,0.99053,0.5228,1.04847,0.0002872,0.0002872,0.0002872
74,126.146,1.00863,0.59336,1.00879,0.9744,1,0.99451,0.78786,0.89727,0.51048,1.01839,0.0002773,0.0002773,0.0002773
75,127.86,0.94615,0.55446,0.97284,0.97412,1,0.99451,0.82154,0.80227,0.49191,0.99216,0.0002674,0.0002674,0.0002674
76,129.605,1.03469,0.59208,0.99882,0.97336,1,0.99451,0.81157,0.80903,0.49299,1.00019,0.0002575,0.0002575,0.0002575
77,131.31,0.97419,0.56691,1.03578,0.96954,1,0.99451,0.81147,0.79596,0.49355,0.99332,0.0002476,0.0002476,0.0002476
78,133.01,0.98416,0.5672,0.97265,0.9696,1,0.99413,0.81794,0.80575,0.50162,0.9943,0.0002377,0.0002377,0.0002377
79,134.676,0.94702,0.55248,0.95326,0.97034,1,0.99413,0.79853,0.86264,0.5038,1.01108,0.0002278,0.0002278,0.0002278
80,136.375,0.90742,0.52292,0.93581,0.97537,0.99002,0.99451,0.75376,1.02274,0.5142,1.0679,0.0002179,0.0002179,0.0002179
81,138.064,0.91965,0.55433,0.94459,0.97438,1,0.99451,0.77531,0.90898,0.49367,1.03004,0.000208,0.000208,0.000208
82,139.784,0.89458,0.55164,0.93207,0.9756,0.99977,0.99451,0.80531,0.82533,0.47441,1.00279,0.0001981,0.0001981,0.0001981
83,141.469,0.94464,0.52996,0.97446,0.9756,0.99943,0.99451,0.8112,0.81315,0.47275,0.99945,0.0001882,0.0001882,0.0001882
84,143.167,0.88228,0.53758,0.9175,0.9756,0.99941,0.99439,0.79759,0.84803,0.48176,1.01443,0.0001783,0.0001783,0.0001783
85,144.821,0.93383,0.55746,0.94972,0.97559,0.99924,0.99439,0.7943,0.85654,0.48745,1.01646,0.0001684,0.0001684,0.0001684
86,146.533,0.94665,0.52196,0.98533,0.97558,0.99856,0.99439,0.79623,0.87321,0.49039,1.02097,0.0001585,0.0001585,0.0001585
87,148.214,0.88268,0.52288,0.93726,0.97558,0.99866,0.99439,0.81111,0.82632,0.48216,1.00433,0.0001486,0.0001486,0.0001486
88,149.96,0.82353,0.50281,0.92465,0.97557,0.99843,0.99451,0.81381,0.78178,0.4825,0.98836,0.0001387,0.0001387,0.0001387
89,151.604,0.89458,0.55423,0.95189,0.97557,0.99821,0.99463,0.81859,0.77047,0.47701,0.98387,0.0001288,0.0001288,0.0001288
90,153.355,0.88357,0.53098,0.97006,1,0.98119,0.99476,0.82099,0.76705,0.47005,0.98213,0.0001189,0.0001189,0.0001189
91,181.531,0.90417,0.51619,0.99804,1,0.98173,0.99476,0.82811,0.7502,0.46078,0.97603,0.000109,0.000109,0.000109
92,183.237,0.83967,0.51656,0.97854,1,0.983,0.99476,0.82441,0.73962,0.45615,0.96953,9.91e-05,9.91e-05,9.91e-05
93,184.915,0.81708,0.48529,0.95305,1,0.98355,0.99476,0.826,0.73271,0.45159,0.96574,8.92e-05,8.92e-05,8.92e-05
94,186.606,0.88225,0.54007,1.00631,1,0.98354,0.99476,0.83878,0.7113,0.44834,0.95681,7.93e-05,7.93e-05,7.93e-05
95,188.346,0.84929,0.50891,0.99197,1,0.98449,0.99476,0.85353,0.70305,0.45087,0.95199,6.94e-05,6.94e-05,6.94e-05
96,190.122,0.83999,0.48557,0.96514,1,0.98506,0.99476,0.84476,0.72702,0.45258,0.95583,5.95e-05,5.95e-05,5.95e-05
97,191.818,0.84324,0.51435,0.97065,1,0.98529,0.99476,0.85135,0.73988,0.45573,0.9593,4.96e-05,4.96e-05,4.96e-05
98,193.493,0.80941,0.48301,0.95927,1,0.98586,0.99476,0.84643,0.74591,0.45689,0.96051,3.97e-05,3.97e-05,3.97e-05
