epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,195.158,0.83335,0.48936,0.98436,1,0.98621,0.99476,0.84687,0.74198,0.45703,0.95946,2.98e-05,2.98e-05,2.98e-05
100,196.827,0.77562,0.47762,0.95203,1,0.98738,0.99476,0.84942,0.7226,0.44963,0.95407,1.99e-05,1.99e-05,1.99e-05
1,2.46872,3.44066,6.144,2.43149,0,0,0,0,3.26127,5.6909,2.56011,0.09604,4e-05,4e-05
2,3.90486,3.23039,5.72858,2.22078,0.00025,0.075,0.00014,4e-05,3.2914,4.25445,2.30263,0.0910891,8.9109e-05,8.9109e-05
3,5.34432,2.42052,3.87752,1.43124,0.00025,0.075,0.00014,4e-05,2.78584,4.11755,1.91746,0.0861372,0.000137228,0.000137228
4,6.68742,2.24137,2.49091,1.29649,0.00025,0.075,0.00014,4e-05,2.60255,3.8921,1.84045,0.0811844,0.000184357,0.000184357
5,7.94893,2.04549,2.0783,1.27125,1,0.5,0.75,0.36098,2.16161,3.79945,1.41711,0.0762305,0.000230496,0.000230496
6,9.2291,1.8667,1.69982,1.2465,0.91525,0.675,0.81985,0.34985,2.08453,3.78225,1.41051,0.0712756,0.000275645,0.000275645
7,10.5458,1.88083,1.45901,1.26161,0.82432,0.7625,0.85331,0.40554,1.69189,3.7636,1.25344,0.0663198,0.000319804,0.000319804
8,11.8638,1.8143,1.27542,1.29422,0.86842,0.825,0.89371,0.35046,1.63097,3.81302,1.27953,0.061363,0.000362973,0.000362973
9,13.1905,1.86512,1.34157,1.30851,0.71429,0.875,0.89689,0.34822,1.61201,3.78805,1.26571,0.0564052,0.000405152,0.000405152
10,14.4839,1.70624,1.23328,1.23924,0.75,0.8625,0.89295,0.38835,1.58775,3.71417,1.2688,0.0514463,0.000446341,0.000446341
11,15.7629,1.7476,1.14501,1.25539,0.51095,0.875,0.83378,0.41975,1.52404,3.34607,1.24337,0.0464865,0.00048654,0.00048654
12,17.0688,1.56498,1.11544,1.18592,0.47297,0.875,0.76289,0.38242,1.61963,3.25833,1.27931,0.0415257,0.000525749,0.000525749
13,18.3082,1.67976,1.12765,1.22655,0.54412,0.925,0.88588,0.37184,1.56571,3.35087,1.27477,0.036564,0.000563968,0.000563968
14,19.565,1.68332,1.22788,1.21944,0.55906,0.8875,0.83485,0.42496,1.51982,3.34287,1.22841,0.0316012,0.000601197,0.000601197
15,20.864,1.48415,1.06999,1.1326,0.58772,0.8375,0.82233,0.46644,1.75845,3.16599,1.346,0.0266374,0.000637436,0.000637436
16,22.126,1.53174,1.12935,1.18793,0.552,0.8625,0.84856,0.50541,1.62415,2.82867,1.30505,0.0216727,0.000672685,0.000672685
17,23.414,1.65649,0.95936,1.21679,0.5036,0.875,0.84075,0.41419,1.92052,2.67896,1.45619,0.0167069,0.000706944,0.000706944
18,24.7436,1.55098,1.06448,1.18686,0.93447,0.65,0.86604,0.39186,2.03394,2.12826,1.58375,0.0117402,0.000740213,0.000740213
19,26.0046,1.41214,0.89828,1.10103,0.93292,0.86921,0.92618,0.51717,1.64089,1.53576,1.37682,0.00677249,0.000772492,0.000772492
20,27.3177,1.37564,0.88093,1.11057,0.97284,0.89552,0.95279,0.61523,1.31502,1.38193,1.20533,0.00180378,0.000803781,0.000803781
21,28.7117,1.5055,1.00269,1.16083,0.9703,0.9125,0.95682,0.60421,1.37748,1.33817,1.22238,0.000802,0.000802,0.000802
22,30.0587,1.43597,0.93713,1.11975,0.93458,0.89293,0.91022,0.52928,1.56894,1.35801,1.29405,0.0007921,0.0007921,0.0007921
23,31.3973,1.41987,0.89949,1.11962,0.91066,0.8875,0.91515,0.55661,1.41728,1.3232,1.22228,0.0007822,0.0007822,0.0007822
24,32.7136,1.46038,0.94066,1.118,0.95386,0.77525,0.92264,0.59056,1.28944,1.73798,1.18039,0.0007723,0.0007723,0.0007723
25,34.0167,1.36206,0.9304,1.10762,0.96539,0.69747,0.91587,0.56248,1.49596,1.86093,1.26905,0.0007624,0.0007624,0.0007624
26,35.3852,1.46631,0.91028,1.12283,0.95469,0.79015,0.92946,0.56314,1.51562,1.65347,1.27478,0.0007525,0.0007525,0.0007525
27,36.6861,1.35484,0.84188,1.13872,0.96,0.9,0.95157,0.64011,1.21709,1.21574,1.18114,0.0007426,0.0007426,0.0007426
28,37.9809,1.39389,0.85848,1.17646,0.95482,0.925,0.96547,0.65122,1.25206,0.98107,1.18238,0.0007327,0.0007327,0.0007327
29,39.365,1.24732,0.84689,1.08988,0.97384,0.93061,0.97273,0.62219,1.3313,1.0077,1.20864,0.0007228,0.0007228,0.0007228
30,40.721,1.32009,0.81532,1.09747,0.96801,0.925,0.97641,0.63834,1.30867,1.01116,1.19827,0.0007129,0.0007129,0.0007129
31,42.045,1.28368,0.81346,1.11026,0.97398,0.93573,0.97888,0.68739,1.13977,0.95432,1.12641,0.000703,0.000703,0.000703
32,43.358,1.19546,0.7138,1.05302,0.97367,0.92444,0.97026,0.62028,1.2982,0.9672,1.20063,0.0006931,0.0006931,0.0006931
33,44.7739,1.20543,0.77393,1.06949,0.97396,0.935,0.98471,0.6864,1.11257,0.91767,1.12352,0.0006832,0.0006832,0.0006832
34,46.1163,1.25022,0.76752,1.10184,0.97362,0.9375,0.98775,0.69755,1.06088,0.83206,1.0982,0.0006733,0.0006733,0.0006733
35,47.5328,1.18093,0.70362,1.08851,0.98668,0.92601,0.98794,0.69318,1.11273,0.76779,1.11752,0.0006634,0.0006634,0.0006634
36,48.9725,1.24885,0.75446,1.11249,0.95538,0.95,0.98218,0.70685,1.05838,0.66597,1.09999,0.0006535,0.0006535,0.0006535
37,50.3568,1.10623,0.73835,1.03993,0.94634,0.95,0.97487,0.64457,1.28577,0.69779,1.18275,0.0006436,0.0006436,0.0006436
38,51.6785,1.28512,0.77395,1.06868,0.97451,0.95592,0.98916,0.58399,1.47195,0.72598,1.25649,0.0006337,0.0006337,0.0006337
39,52.9438,1.16281,0.7567,1.06947,0.96997,0.9625,0.99028,0.65568,1.17581,0.69902,1.12691,0.0006238,0.0006238,0.0006238
40,54.2967,1.31207,0.71786,1.11596,0.97383,0.975,0.99193,0.66929,1.10513,0.64789,1.12555,0.0006139,0.0006139,0.0006139
41,55.611,1.13859,0.69871,1.05109,0.96274,0.96899,0.99158,0.7218,0.95765,0.60834,1.06121,0.000604,0.000604,0.000604
42,56.9325,1.18631,0.67831,1.04174,0.96557,0.9625,0.99227,0.72467,1.01423,0.62537,1.0805,0.0005941,0.0005941,0.0005941
43,58.2877,1.27255,0.67891,1.11167,0.98259,0.9625,0.99297,0.72122,1.05642,0.61232,1.1072,0.0005842,0.0005842,0.0005842
44,59.6512,1.14335,0.66675,1.04616,0.98734,0.97476,0.99332,0.73058,0.97323,0.5575,1.09324,0.0005743,0.0005743,0.0005743
45,60.9926,1.30215,0.69793,1.10319,0.98732,0.97341,0.99342,0.69742,1.0747,0.57368,1.13697,0.0005644,0.0005644,0.0005644
46,62.3861,1.0959,0.66484,1.05911,0.97379,0.975,0.9931,0.67796,1.14504,0.58355,1.16208,0.0005545,0.0005545,0.0005545
47,63.7427,1.17341,0.68796,1.04919,0.97465,0.975,0.99343,0.65256,1.25601,0.60639,1.20763,0.0005446,0.0005446,0.0005446
48,65.0991,1.10616,0.62187,1.03909,0.97075,0.9875,0.99377,0.65684,1.23783,0.62617,1.18772,0.0005347,0.0005347,0.0005347
49,66.4248,1.0666,0.60553,1.0295,0.97557,0.99842,0.99413,0.66259,1.26694,0.63977,1.19558,0.0005248,0.0005248,0.0005248
50,67.7431,1.12634,0.63535,1.03857,0.97548,0.99463,0.99476,0.66472,1.25894,0.63101,1.19614,0.0005149,0.0005149,0.0005149
51,69.0204,1.08222,0.62798,0.99134,0.99739,1,0.995,0.74919,1.03138,0.57239,1.11056,0.000505,0.000505,0.000505
52,70.3515,1.10401,0.63483,1.02053,0.99866,0.9875,0.99488,0.77399,0.90592,0.55122,1.06225,0.0004951,0.0004951,0.0004951
53,71.6775,1.07499,0.61408,1.00641,0.98725,0.96788,0.98863,0.72908,1.06533,0.58091,1.12153,0.0004852,0.0004852,0.0004852
54,72.9545,1.10507,0.67809,1.05943,0.9731,0.9875,0.98795,0.70196,1.1607,0.59448,1.15568,0.0004753,0.0004753,0.0004753
55,74.2614,1.20689,0.7016,1.09261,1,0.98662,0.99488,0.74352,1.02162,0.55671,1.08905,0.0004654,0.0004654,0.0004654
56,75.6494,1.16685,0.69537,1.0331,0.99518,1,0.995,0.72431,1.075,0.55467,1.10094,0.0004555,0.0004555,0.0004555
57,76.9742,1.23627,0.67602,1.14316,0.99662,1,0.995,0.72882,1.0853,0.54665,1.10854,0.0004456,0.0004456,0.0004456
58,78.2689,1.15953,0.62473,1.06809,0.99637,1,0.995,0.74593,1.01042,0.52189,1.08796,0.0004357,0.0004357,0.0004357
59,79.6268,1.1028,0.60929,1.03859,0.99957,1,0.995,0.67488,1.23497,0.56587,1.18209,0.0004258,0.0004258,0.0004258
60,80.9388,1.06457,0.60202,1.03893,0.99525,0.9875,0.99488,0.72713,1.03424,0.53107,1.08046,0.0004159,0.0004159,0.0004159
61,82.2708,1.05997,0.59226,0.98826,0.98684,1,0.99488,0.78118,0.88796,0.52033,1.02192,0.000406,0.000406,0.000406
62,83.6185,1.08904,0.58815,1.02983,0.98591,1,0.99488,0.78422,0.87114,0.51618,1.01188,0.0003961,0.0003961,0.0003961
63,85.0508,0.95294,0.56641,0.97062,1,0.98706,0.99488,0.78651,0.8727,0.50583,1.01314,0.0003862,0.0003862,0.0003862
64,86.3974,1.0012,0.56258,0.99877,0.99988,1,0.995,0.76624,0.97098,0.50662,1.05205,0.0003763,0.0003763,0.0003763
65,87.8247,1.02264,0.57266,1.04957,0.99761,1,0.995,0.71617,1.12666,0.51579,1.11008,0.0003664,0.0003664,0.0003664
66,89.2609,0.91342,0.5509,0.93214,0.99775,1,0.995,0.67758,1.25155,0.52727,1.16417,0.0003565,0.0003565,0.0003565
67,90.6444,0.97238,0.57356,0.96856,0.9977,1,0.995,0.66581,1.26378,0.52723,1.17047,0.0003466,0.0003466,0.0003466
68,92.0033,1.01348,0.56178,1.03416,0.99845,1,0.995,0.78492,0.89239,0.48463,1.02155,0.0003367,0.0003367,0.0003367
69,93.3742,0.91676,0.54067,0.9928,0.99846,1,0.995,0.7841,0.86812,0.48179,1.01238,0.0003268,0.0003268,0.0003268
70,94.7642,0.93607,0.60074,0.99195,0.99859,1,0.995,0.78541,0.86539,0.47814,1.00976,0.0003169,0.0003169,0.0003169
71,96.0839,1.02207,0.5777,0.98232,0.99873,1,0.995,0.78993,0.83642,0.46822,0.99708,0.000307,0.000307,0.000307
72,97.4233,0.93963,0.53204,0.98217,0.99888,1,0.995,0.82159,0.75355,0.45748,0.96091,0.0002971,0.0002971,0.0002971
73,98.7764,0.98205,0.56956,0.96908,0.99888,1,0.995,0.81162,0.78931,0.45935,0.96819,0.0002872,0.0002872,0.0002872
74,100.091,0.98115,0.58394,1.00402,0.99894,1,0.995,0.82849,0.74745,0.4479,0.96,0.0002773,0.0002773,0.0002773
75,101.439,0.95639,0.54378,0.97292,0.99891,1,0.995,0.83168,0.7665,0.44802,0.97446,0.0002674,0.0002674,0.0002674
76,102.764,0.98759,0.56549,0.98762,0.9985,1,0.995,0.79331,0.89791,0.46336,1.0227,0.0002575,0.0002575,0.0002575
77,104.103,0.95194,0.51566,1.02124,0.99842,1,0.995,0.784,0.92227,0.46554,1.03332,0.0002476,0.0002476,0.0002476
78,105.45,1.01479,0.56086,0.98634,0.99837,1,0.995,0.78767,0.90661,0.46684,1.02939,0.0002377,0.0002377,0.0002377
79,106.822,0.94168,0.54217,0.96022,0.99841,1,0.995,0.80998,0.81624,0.46432,0.99822,0.0002278,0.0002278,0.0002278
80,108.183,0.86417,0.50118,0.92782,0.99848,1,0.995,0.81259,0.80287,0.46168,0.99336,0.0002179,0.0002179,0.0002179
81,109.527,0.88265,0.52981,0.93776,0.9985,1,0.995,0.8037,0.80374,0.45666,0.99281,0.000208,0.000208,0.000208
82,110.88,0.91362,0.53364,0.94143,0.99855,1,0.995,0.79265,0.85517,0.45284,1.00621,0.0001981,0.0001981,0.0001981
83,112.217,0.86292,0.50551,0.95128,0.99824,1,0.995,0.78644,0.87681,0.44832,1.00691,0.0001882,0.0001882,0.0001882
84,113.655,0.82954,0.5272,0.90303,0.99699,1,0.995,0.81713,0.80245,0.43937,0.97498,0.0001783,0.0001783,0.0001783
85,115.005,0.90507,0.54563,0.93848,0.99688,1,0.995,0.81506,0.78429,0.43587,0.96844,0.0001684,0.0001684,0.0001684
86,116.363,0.91867,0.50999,0.95416,0.99847,1,0.995,0.79784,0.83619,0.43413,0.98543,0.0001585,0.0001585,0.0001585
87,117.747,0.85327,0.51544,0.92905,0.99833,1,0.995,0.78936,0.82352,0.43867,0.97923,0.0001486,0.0001486,0.0001486
88,119.101,0.84928,0.48702,0.92587,0.99874,1,0.995,0.83098,0.73983,0.4324,0.94885,0.0001387,0.0001387,0.0001387
89,120.454,0.86568,0.5248,0.9464,1,0.99993,0.995,0.84393,0.70671,0.43131,0.9386,0.0001288,0.0001288,0.0001288
90,121.835,0.84682,0.52589,0.96248,1,0.99983,0.995,0.83804,0.71014,0.42462,0.93918,0.0001189,0.0001189,0.0001189
91,147.949,0.93732,0.50759,1.01304,0.99909,1,0.995,0.83727,0.70973,0.41479,0.93946,0.000109,0.000109,0.000109
92,150.755,0.82229,0.50615,1.00911,0.99727,1,0.995,0.84291,0.71121,0.42013,0.93613,9.91e-05,9.91e-05,9.91e-05
93,152.22,0.7378,0.46185,0.92089,0.99805,1,0.995,0.829,0.74312,0.42341,0.94506,8.92e-05,8.92e-05,8.92e-05
94,153.595,0.83934,0.51634,0.99107,0.99817,1,0.995,0.82176,0.76453,0.42182,0.9508,7.93e-05,7.93e-05,7.93e-05
95,154.978,0.86718,0.51506,1.02936,0.9982,1,0.995,0.83034,0.75365,0.4268,0.94732,6.94e-05,6.94e-05,6.94e-05
96,156.366,0.82252,0.46987,0.96806,0.99857,1,0.995,0.84978,0.6883,0.4124,0.92771,5.95e-05,5.95e-05,5.95e-05
97,157.723,0.81325,0.4751,0.96031,0.99869,1,0.995,0.85044,0.66241,0.40708,0.92158,4.96e-05,4.96e-05,4.96e-05
98,159.073,0.77748,0.45467,0.9476,0.99872,1,0.995,0.85195,0.65484,0.40873,0.91895,3.97e-05,3.97e-05,3.97e-05
99,160.43,0.8453,0.47339,1.00103,0.99872,1,0.995,0.85315,0.65652,0.41001,0.91852,2.98e-05,2.98e-05,2.98e-05
100,161.793,0.79173,0.47316,0.96927,0.99871,1,0.995,0.85214,0.65367,0.40743,0.91731,1.99e-05,1.99e-05,1.99e-05
